Mach Virtual Memory Statistics: (page size of 4096 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   32035   698326    86555   862607        0   371562    83368  131401K   901755 77445374  1219394   542744      675026    972462   679358    45826  1210974  2341108  5085574    22770   167424   419986 
   30459   698320    86555   862607        0   373061    83340      400        3      378        0        1      675026    972456   679357    45826        1        0        0        0        0        0 
   31365   698386    86555   862607        0   372260    83405      268        0      250        9        0      675026    972522   679357    45826        0        0        0        0        0        0 
   31322   698698    86555   862607        0   372017    83405     4046        0     2810        0        0      675026    972834   679357    45826        0        0        0        0        0        0 
   30812   699251    86586   862607        0   371641    83464     7739        2     5255        0        0      675057    973387   679356    45826        1        0        0        0        0        0 
   30998   699861    86586   862607        0   371012    84093     3814        0     2594        0        0      675057    973997   679356    45826        0        0        0        0        0        0 
   30210   699493    86586   862607        0   372116    84001     7701        0     5289        0        0      675057    973629   679354    45826        2        0        0        0        0        0 
   30786   700659    86601   862735        0   370152    83969     5391      163     2879        0        0      675076    974919   679103    46066      266        0       13        0      256        0 
   30607   700653    86601   862735        0   370152    83969      334        0      322        0        0      675076    974913   679101    46066        2        0        0        0        0        0 
   30582   700687    86602   862736        0   370153    83973      365        0      352        0        0      675078    974947   679097    46066        4        0        0        0        0        0 
   30606   699281    86602   862736        0   371631    83840      348        0      336        0        0      675078    973541   679096    46066        1        0        0        0        0        0 
   29811   701080    86602   862944        0   370338    83838     1536        0     1180        0        0      675078    975548   679096    46066        0        0        0        0        0        0 
   30167   700320    86602   862736        0   371051    83871     2517        0     1628        0        0      675078    974580   679095    46066        1        0        0        0        0        0 
   30279   699061    86602   862736        0   372261    83865      194        0      186        0        0      675078    973321   679094    46066        1        0        0        0        0        0 
   30286   699049    86602   862736        0   372261    83865      256        0      247        0        0      675078    973309   679093    46066        1        0        0        0        0        0 
   30231   698320    86602   862736        0   372982    83865      332        0      320        0        0      675078    972580   679092    46066        1        0        0        0        0        0 
   30084   696766    86602   862736        0   374552    82776      402        0      376        0        0      675078    971026   679088    46066        4        0        0        0        0        0 
   30327   695608    86630   862737        0   375582    81408     1061        4      849        0        0      675107    969868   679064    46050       24        0        0        0        0        0 
   28089   697255    86704   862749        0   375631    81492     5681      278     1880        0        0      675226    971482   678832    46402      230        0       70        0      384        0 
   24528   698722    86807   862790        0   377487    81936     9661      245     5437        0        0      675389    972930   677342    46652     1489        0       55        0      378        0 
   21633   699481    87994   862849        0   377540    81921     2239      389     1086        0        0      676781    973543   676945    47372      397        0      702        0      768        0 
