PID   COMMAND      %CPU TIME     #TH   #WQ  #PORT MEM    PURG   CMPRS  PGRP PPID
2662  top          14.8 00:03.41 1/1   0    27    3928K  0B     0B     2662 2375
227   WindowServer 14.7 06:41.52 11    5    1569- 225M+  8880K- 26M    227  1
2365  Terminal     11.7 00:15.80 9     2    269+  25M-   832K+  3684K  2365 1
0     kernel_task  7.8  12:07.59 169/4 0    0     120M   0B     0B     0    0
151   hidd         4.5  01:14.83 6     3    208   2700K  0B     704K   151  1
1444  Telegram Des 2.7  02:00.25 16    1    335   380M   0B     90M    1444 1
1449  Yandex.Disk. 0.3  00:19.88 38    1    259   80M    4096B  53M    1449 1
1574  TeamViewer_D 0.3  00:38.46 6     1    95    5916K  0B     3664K  1574 1
449   cfprefsd     0.2  00:06.24 3     2    459+  3468K+ 180K+  1272K  449  1
101   configd      0.1  00:24.73 9     2    465   5264K  0B     2460K  101  1
96    fseventsd    0.1  00:22.51 13    1    276-  5592K- 0B     1504K  96   1
103   powerd       0.1  00:05.20 3     2    113   2092K  0B     596K   103  1
261   usbd         0.1  00:02.59 2     1    53    2744K  0B     2400K  261  1
472   pboard       0.0  00:00.38 3     2    130+  2692K+ 0B     1784K  472  1
